MCP Server Name,GitHub Repo URL,Description,Category
Brave Search,https://github.com/modelcontextprotocol/servers/tree/main/src/brave-search,Web and local search using Brave's Search API,Search Engine
Fetch,https://github.com/modelcontextprotocol/servers/tree/main/src/fetch,Web content fetching and conversion for efficient LLM usage,Web Scraping & Content
Filesystem,https://github.com/modelcontextprotocol/servers/tree/main/src/filesystem,Secure file operations with configurable access controls,File Management
Git,https://github.com/modelcontextprotocol/servers/tree/main/src/git,"Tools to read, search, and manipulate Git repositories",Version Control
GitLab,https://github.com/modelcontextprotocol/servers/tree/main/src/gitlab,"GitLab API, enabling project management",Version Control
Google Drive,https://github.com/modelcontextprotocol/servers/tree/main/src/gdrive,File access and search capabilities for Google Drive,Cloud Storage
Google Maps,https://github.com/modelcontextprotocol/servers/tree/main/src/google-maps,"Location services, directions, and place details",Maps & Location
Memory,https://github.com/modelcontextprotocol/servers/tree/main/src/memory,Knowledge graph-based persistent memory system,Knowledge Management
PostgreSQL,https://github.com/modelcontextprotocol/servers/tree/main/src/postgres,Read-only database access with schema inspection,Database
Puppeteer,https://github.com/modelcontextprotocol/servers/tree/main/src/puppeteer,Browser automation and web scraping,Web Automation
Sentry,https://github.com/modelcontextprotocol/servers/tree/main/src/sentry,Retrieving and analyzing issues from Sentry.io,Error Monitoring
Sequential Thinking,https://github.com/modelcontextprotocol/servers/tree/main/src/sequentialthinking,Dynamic and reflective problem-solving through thought sequences,AI Thinking Tools
Slack,https://github.com/modelcontextprotocol/servers/tree/main/src/slack,Channel management and messaging capabilities,Team Communication
Sqlite,https://github.com/modelcontextprotocol/servers/tree/main/src/sqlite,Database interaction and business intelligence capabilities,Database
21st.dev Magic,https://github.com/21st-dev/magic-mcp,Create crafted UI components inspired by the best 21st.dev design engineers.,UI & Design
Adfin,https://github.com/Adfin-Engineering/mcp-server-adfin,"The only platform you need to get paid - all payments in one place, invoicing and accounting reconciliations with [Adfin](https://www.adfin.com/).",Finance & Payments
AgentQL,https://github.com/tinyfish-io/agentql-mcp,Enable AI agents to get structured data from unstructured web with [AgentQL](https://www.agentql.com/).,Data Extraction
AgentRPC,https://github.com/agentrpc/agentrpc,"Connect to any function, any language, across network boundaries using [AgentRPC](https://www.agentrpc.com/).",Function Calling
Aiven,https://github.com/Aiven-Open/mcp-aiven,"Navigate your [Aiven projects](https://go.aiven.io/mcp-server) and interact with the PostgreSQL®, Apache Kafka®, ClickHouse® and OpenSearch® services",Cloud Services
ALAPI,https://github.com/ALAPI-SDK/mcp-alapi-cn,"ALAPI MCP Tools,Call hundreds of API interfaces via MCP",API Services
Apify,https://github.com/apify/actors-mcp-server,"[Actors MCP Server](https://apify.com/apify/actors-mcp-server): Use 3,000+ pre-built cloud tools to extract data from websites, e-commerce, social media, search engines, maps, and more",API Services
APIMatic MCP,https://github.com/apimatic/apimatic-validator-mcp,APIMatic MCP Server is used to validate OpenAPI specifications using [APIMatic](https://www.apimatic.io/). The server processes OpenAPI files and returns validation summaries by leveraging APIMatic’s API.,Cryptocurrency & Blockchain
Armor Crypto MCP,https://github.com/armorwallet/armor-crypto-mcp,"MCP to interface with multiple blockchains, staking, DeFi, swap, bridging, wallet management, DCA, Limit Orders, Coin Lookup, Tracking and more.",AI Evaluation & Testing
Atla,https://github.com/atla-ai/atla-mcp-server,Enable AI agents to interact with the [Atla API](https://docs.atla-ai.com/) for state-of-the-art LLMJ evaluation.,Marketing & Analytics
Audiense Insights,https://github.com/AudienseCo/mcp-audiense-insights,"Marketing insights and audience analysis from [Audiense](https://www.audiense.com/products/audiense-insights) reports, covering demographic, cultural, influencer, and content engagement analysis.",
AWS Bedrock KB Retrieval,https://github.com/awslabs/mcp/tree/main/src/bedrock-kb-retrieval-mcp-server,Query Amazon Bedrock Knowledge Bases using natural language to retrieve relevant information from your data sources.,Cloud Services
AWS CDK,https://github.com/awslabs/mcp/tree/main/src/cdk-mcp-server,"Get prescriptive CDK advice, explain CDK Nag rules, check suppressions, generate Bedrock Agent schemas, and discover AWS Solutions Constructs patterns.",Cloud Infrastructure
AWS Core,https://github.com/awslabs/mcp/tree/main/src/core-mcp-server,Core AWS MCP server providing prompt understanding and server management capabilities.,
AWS Cost Analysis,https://github.com/awslabs/mcp/tree/main/src/cost-analysis-mcp-server,Analyze CDK projects to identify AWS services used and get pricing information from AWS pricing webpages and API.,Cloud Infrastructure
AWS Documentation,https://github.com/awslabs/mcp/tree/main/src/aws-documentation-mcp-server,"Fetch, convert, and search AWS documentation pages, with recommendations for related content.",AI Image Generation
AWS Nova Canvas,https://github.com/awslabs/mcp/tree/main/src/nova-canvas-mcp-server,Generate images using Amazon Nova Canvas with text prompts and color guidance.,
Axiom,https://github.com/axiomhq/mcp-server-axiom,"Query and analyze your Axiom logs, traces, and all other event data in natural language",
Bankless Onchain,https://github.com/bankless/onchain-mcp,"Query Onchain data, like ERC20 tokens, transaction history, smart contract state.",
Baserow,https://baserow.io/user-docs/mcp-server,Read and write access to your Baserow tables.,
Box,https://github.com/box-community/mcp-server-box,Interact with the Intelligent Content Management platform through Box AI.,
Bright Data,https://github.com/luminati-io/brightdata-mcp,"Discover, extract, and interact with the web - one interface powering automated access across the public internet.",
Browserbase,https://github.com/browserbase/mcp-server-browserbase,"Automate browser interactions in the cloud (e.g. web navigation, data extraction, form filling, and more)",
BrowserStack,https://github.com/browserstack/mcp-server,"– Bring the full power of BrowserStack’s [Test Platform](https://www.browserstack.com/test-platform) to your AI tools, making testing faster and easier for every developer and tester on your team.",
Bucket,https://github.com/bucketco/bucket-javascript-sdk/tree/main/packages/cli#model-context-protocol,"Flag features, manage company data, and control feature access using [Bucket](https://bucket.co)",
Chargebee,https://github.com/chargebee/agentkit/tree/main/modelcontextprotocol,MCP Server that connects AI agents to [Chargebee platform](https://www.chargebee.com).,
Chroma,https://github.com/chroma-core/chroma-mcp,"Embeddings, vector search, document storage, and full-text search with the open-source AI application database",
Chronulus AI,https://github.com/ChronulusAI/chronulus-mcp,Predict anything with Chronulus AI forecasting and prediction agents.,
CircleCI,https://github.com/CircleCI-Public/mcp-server-circleci,Enable AI Agents to fix build failures from CircleCI.,
ClickHouse,https://github.com/ClickHouse/mcp-clickhouse,Query your [ClickHouse](https://clickhouse.com/) database server.,
Cloudflare,https://github.com/cloudflare/mcp-server-cloudflare,"Deploy, configure & interrogate your resources on the Cloudflare developer platform (e.g. Workers/KV/R2/D1)",
Comet Opik,https://github.com/comet-ml/opik-mcp,"Query and analyze your [Opik](https://github.com/comet-ml/opik) logs, traces, prompts and all other telemtry data from your LLMs in natural language.",
Context 7,https://github.com/upstash/context7-mcp,Context7 MCP - Up-to-date Docs For Any Cursor Prompt,Knowledge Management
Convex,https://stack.convex.dev/convex-mcp-server,Introspect and query your apps deployed to Convex.,Backend & Database
Couchbase,https://github.com/Couchbase-Ecosystem/mcp-server-couchbase,Interact with the data stored in Couchbase clusters using natural language.,Database
CRIC Wuye AI,https://github.com/wuye-ai/mcp-server-wuye-ai,"Interact with capabilities of the CRIC Wuye AI platform, an intelligent assistant specifically for the property management industry.",Property Management
Cua,https://github.com/trycua/cua/tree/main/libs/mcp-server,"MCP server for the Computer-Use Agent (CUA), allowing you to run CUA through Claude Desktop or other MCP clients.",Computer Automation
Currents,https://github.com/currents-dev/currents-mcp,Enable AI Agents to fix Playwright test failures reported to [Currents](https://currents.dev).,Testing & Development
Dart,https://github.com/its-dart/dart-mcp-server,"Interact with task, doc, and project data in [Dart](https://itsdart.com), an AI-native project management tool",Project Management
DataWorks,https://github.com/aliyun/alibabacloud-dataworks-mcp-server,"A Model Context Protocol (MCP) server that provides tools for AI, allowing it to interact with the DataWorks Open API through a standardized interface. This implementation is based on the Aliyun Open API and enables AI agents to perform cloud resources operations seamlessly.",Data Processing
DealX,https://github.com/DealExpress/mcp-server,MCP Server for DealX platform,E-commerce
dbt,https://github.com/dbt-labs/dbt-mcp,"Official MCP server for [dbt (data build tool)](https://www.getdbt.com/product/what-is-dbt) providing integration with dbt Core/Cloud CLI, project metadata discovery, model information, and semantic layer querying capabilities.",Data Engineering
DevHub,https://github.com/devhub/devhub-cms-mcp,Manage and utilize website content within the [DevHub](https://www.devhub.com) CMS platform,Content Management
DexPaprika,https://github.com/coinpaprika/dexpaprika-mcp,"Access real-time DEX analytics across 20+ blockchains with [DexPaprika API](https://docs.dexpaprika.com), tracking 5M+ tokens, pools, volumes, and historical market data. Built by CoinPaprika.",Blockchain & Crypto
Digma,https://github.com/digma-ai/digma-mcp-server,"A code observability MCP enabling dynamic code analysis based on OTEL/APM data to assist in code reviews, issues identification and fix, highlighting risky code etc.",Code Observability
E2B,https://github.com/e2b-dev/mcp-server,Run code in secure sandboxes hosted by [E2B](https://e2b.dev),Code Execution
EdgeOne Pages MCP,https://github.com/TencentEdgeOne/edgeone-pages-mcp,An MCP service for deploying HTML content to EdgeOne Pages and obtaining a publicly accessible URL.,Web Hosting
EduBase,https://github.com/EduBase/MCP,"Interact with [EduBase](https://www.edubase.net), a comprehensive e-learning platform with advanced quizzing, exam management, and content organization capabilities",Education & E-learning
eSignatures,https://github.com/esignaturescom/mcp-server-esignatures,"Contract and template management for drafting, reviewing, and sending binding contracts.",Document Management
ELEMENT.FM,https://gitlab.com/elementfm/mcp,Create and publish unlimited podcast shows and episodes with [ELEMENT.FM](https://element.fm),Podcasting
ElevenLabs,https://github.com/elevenlabs/elevenlabs-mcp,The official ElevenLabs MCP server,Voice & Audio
Exa,https://github.com/exa-labs/exa-mcp-server,Search Engine made for AIs by [Exa](https://exa.ai),Search Engine
Fewsats,https://github.com/Fewsats/fewsats-mcp,Enable AI Agents to purchase anything in a secure way using [Fewsats](https://fewsats.com),Payment Processing
Fibery,https://github.com/Fibery-inc/fibery-mcp-server,Perform queries and entity operations in your [Fibery](https://fibery.io) workspace.,Project Management
Financial Datasets,https://github.com/financial-datasets/mcp-server,Stock market API made for AI agents,Financial Data
Firecrawl,https://github.com/mendableai/firecrawl-mcp-server,Extract web data with [Firecrawl](https://firecrawl.dev),Web Scraping & Content
Fireproof,https://github.com/fireproof-storage/mcp-database-server,Immutable ledger database with live synchronization,Database
GitHub,https://github.com/github/github-mcp-server,GitHub's official MCP Server,Version Control
Gitee,https://github.com/oschina/mcp-gitee,"Gitee API integration, repository, issue, and pull request management, and more.",Version Control
Globalping,https://github.com/jsdelivr/globalping-mcp-server,"Network access with the ability to run commands like ping, traceroute, mtr, http, dns resolve.",Network Tools
gotoHuman,https://github.com/gotohuman/gotohuman-mcp-server,Human-in-the-loop platform - Allow AI agents and automations to send requests for approval to your [gotoHuman](https://www.gotohuman.com) inbox.,Human Oversight
Grafana,https://github.com/grafana/mcp-grafana,"Search dashboards, investigate incidents and query datasources in your Grafana instance",Monitoring & Dashboards
Graphlit,https://github.com/graphlit/graphlit-mcp-server,"Ingest anything from Slack to Gmail to podcast feeds, in addition to web crawling, into a searchable [Graphlit](https://www.graphlit.com) project.",Knowledge Management
GreptimeDB,https://github.com/GreptimeTeam/greptimedb-mcp-server,Provides AI assistants with a secure and structured way to explore and analyze data in [GreptimeDB](https://github.com/GreptimeTeam/greptimedb).,Time Series Database
Hologres,https://github.com/aliyun/alibabacloud-hologres-mcp-server,"Connect to a [Hologres](https://www.alibabacloud.com/en/product/hologres) instance, get table metadata, query and analyze data.",Database
Hostinger,https://github.com/hostinger/api-mcp-server,Official [Hostinger API](https://developers.hostinger.com/) MCP server for services managment.,Web Hosting
Hydrolix,https://github.com/hydrolix/mcp-hydrolix,Hydrolix time-series datalake integration providing schema exploration and query capabilities to LLM-based workflows.,Data Analytics
Hyperbrowser,https://github.com/hyperbrowserai/mcp,"[Hyperbrowser](https://www.hyperbrowser.ai/) is the next-generation platform empowering AI agents and enabling effortless, scalable browser automation.",Web Automation
IBM wxflows,https://github.com/IBM/wxflows/tree/main/examples/mcp/javascript,"Tool platform by IBM to build, test and deploy tools for any data source",Development Tools
ForeverVM,https://github.com/jamsocket/forevervm/tree/main/javascript/mcp-server,Run Python in a code sandbox.,Code Execution
Inbox Zero,https://github.com/elie222/inbox-zero/tree/main/apps/mcp-server,AI personal assistant for email [Inbox Zero](https://www.getinboxzero.com),Email Management
